sample_id,z,y
1223815,0,1.1804716617178868
2652557,1,1.3629807243964556
3850736,0,0.6070103640045849
2232984,1,1.6324327148169133
517159,0,0.8815532083377005
2975541,1,0.4293337418915642
1159846,0,2.2824405463797395
3060629,1,0.6284186268752718
3344344,0,0.4408799428610536
253494,0,0.4436084925110281
1519707,0,1.5217860282391638
2941180,1,1.4923759814381603
1214410,0,0.7141421897415632
490581,1,0.7320170606347837
977821,1,-0.0575395532832751
2048569,0,0.5682888714370933
818197,0,0.5220718122969563
2587634,0,0.6020719563185646
936286,1,0.8670262252896266
288885,0,0.523973300237661
1626573,1,0.37570689992778716
214900,0,0.35366044155178245
3858070,1,0.8614175911645062
2743542,1,0.7728947542475575
1646331,0,1.1411062928270987
1386072,0,0.9428501484482675
482266,0,1.3530031917813097
1626586,1,-0.07116589195654732
2275160,0,0.41362582229334116
1987664,0,0.9494468898020072
225109,1,1.4390800360758225
2211806,1,0.4069417906721088
626362,0,0.5099981818217385
698013,0,1.0291993831605004
1511490,0,1.1551617360147421
3721352,1,1.042406586393275
2509580,1,0.7302230812116383
3035413,1,0.7556436247854637
3533084,0,0.9007294759937795
3018000,1,0.3987347361657627
3941156,1,1.1656768389926726
1439598,0,0.754952680511814
2537320,0,0.7692316865724252
3292537,1,0.6316257787481956
1228291,1,0.3291960206235901
2500521,0,0.486863175981249
1791043,1,1.0407756999921163
3672543,1,1.0580526100853618
3127694,0,2.8966412969963917
3533175,1,0.925743327055999
3714125,0,1.1646532900823654
485671,1,0.6504303417572498
2797151,1,0.49050906134149624
1536829,1,1.3195236963615513
568471,1,0.8435768480958399
2272323,1,0.6535428851040502
504064,1,0.9499818061324816
3495527,0,0.5161063545767532
1415044,1,0.6421529898807713
3906010,1,0.8825610390964533
2977304,0,0.5157873566681428
873359,1,0.6732851184954465
2680072,0,1.4096621209208422
2745370,1,0.7130160036933354
2109422,1,0.6344489194124129
3661121,0,0.8550352480299854
3371457,1,0.4398049043990279
